P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"bother","VB|NN","VB","to","TO|IN|IN_2","TO","anybody","PN","PN","in","IN|RP|RB_1","IN","train","NN|VB","VB"
"likely","JJ|RB","JJ","to","TO|IN|IN_2","TO","unnecessary","JJ","JJ","suffering","VBG|NN|JJ","NN","cause","NN|VB","VB"
"<O>","<O>","<O>","<O>","<O>","<O>","vessels","NNS","NNS","were","BED","BED","salvage","NN|VB","VB"
"attempt","NN|VB","NN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","liner","NN","NN","beach","NN|VB","VB"
"planned","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","her","PPG|PP3O|RN","PP3O","into","IN","IN","tow","NN|VB","VB"
"after","IN|CS|RI","CS","they","PP3AS","PP3AS","&period;","SPER|IN","SPER","<O>","<O>","<O>","report","NN|VB","VB"
"decided","VBD|VBN|JJ","VBN","to","TO|IN|IN_2","TO","to","TO|IN|IN_2","IN","rule","NN|VB","NN","work","NN|VB","VB"
"<O>","<O>","<O>","they","PP3AS","PP3AS","the","ATI|RB_2|NC","ATI","firm","NN|JJ","NN","claim","NN|VB","VB"
"Europe","NP","NP","could","MD","MD","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","match","NN|VB","VB"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","your","PPG","PPG","governments","NNS","NNS","urge","NN|VB","VB"
"wishing","VBG|NN","VBG","to","TO|IN|IN_2","TO","against","IN|IN_2|RI","IN","their","PPG","PPG","appeal","NN|VB","VB"
"easier","JJR|RBR","JJR","to","TO|IN|IN_2","TO","a","AT|AP_1|RB_1","AT","man","NN|FW|VB","NN","hook","NN|VB","VB"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","rally","NN|VB","VB"
"how","WRB|NN_2","WRB","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","new","JJ","JJ","form","NN|VB","VB"
"did","DOD","DOD","not","XNOT","XNOT","Mr","NPT|FW|NC","NPT","Jones","NP","NP","answer","NN|VB","VB"
"Jones","NP","NP","to","TO|IN|IN_2","TO","him","PP3O","PP3O","home","NR","NR","drive","NN|VB","VB"
"began","VBD","VBD","to","TO|IN|IN_2","TO","threatening","JJ|VBG","JJ","language","NN","NN","use","NN|VB","VB"
"could","MD","MD","also","RB|FW","RB","in","IN|RP|RB_1","IN","mental","JJ","JJ","result","NN|VB","VB"
"failed","VBN|VBD","VBD","to","TO|IN|IN_2","TO","his","PPG|PPGG","PPG","statutory","JJ","JJ","discharge","NN|VB","VB"
"proposing","VBG","VBG","to","TO|IN|IN_2","TO","dried","JJ|VBN|VBD","JJ","milk","NN","NN","supply","NN|VB","VB"
"country","NN|NC","NN","will","MD|NN|VB","MD","&period;","SPER|IN","SPER","<O>","<O>","<O>","increase","NN|VB","VB"
"committee","NN","NN","will","MD|NN|VB","MD","the","ATI|RB_2|NC","ATI","demand","NN|VB","NN","estimate","NN|VB","VB"
"it","PP3|NC","PP3","should","MD","MD","itself","PPL","PPL","with","IN|IN_2|RI","IN","concern","NN|VB","VB"
"empowered","VBN","VBN","to","TO|IN|IN_2","TO","quota","NN|NC","NN","systems","NNS","NNS","use","NN|VB","VB"
"methods","NNS","NNS","to","TO|IN|IN_2","TO","distribution","NN","NN","&period;","SPER|IN","SPER","control","NN|VB","VB"
"difficult","JJ","JJ","to","TO|IN|IN_2","TO","&period;","SPER|IN","SPER","<O>","<O>","<O>","gauge","NN|VB","VB"
"59","CD|NC","CD","to","TO|IN|IN_2","TO","at","IN|RB_1|NC","IN","London","NP|NC","NP","land","NN|VB","VB"
"Europe","NP","NP","must","MD|NN","MD","&dash;","SDSH","SDSH","and","CC|RB_1|RB_2","CC","rise","NN|VB","VB"
"&dash;","SDSH","SDSH","and","CC|RB_1|RB_2","CC","from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","rise","NN|VB","VB"
"is","BEZ|NC","BEZ","to","TO|IN|IN_2","TO","four","CD","CD","350&comma;000","CD","CD","supply","NN|VB","VB"
"will","MD|NN|VB","MD","not","XNOT","XNOT","only","RB|AP|CC","RB","C&period;W&period;S","NP","NP","stock","NN|VB","VB"
"societies","NNS","NNS","to","TO|IN|IN_2","TO","as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","act","NN|VB","VB"
"will","MD|NN|VB","MD","not","XNOT","XNOT","from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","benefit","NN|VB","VB"
"designed","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","upward","JJB|RB","JJB","check","NN|VB","VB"
"determination","NN","NN","to","TO|IN|IN_2","TO","away","RP|NC","RP","protective","JJ","JJ","sweep","NN|VB","VB"
"<O>","<O>","<O>","they","PP3AS","PP3AS","to","TO|IN|IN_2","IN","&pound;","NNU","NNU","amount","NN|VB","VB"
"must","MD|NN","MD","regularly","RB","RB","and","CC|RB_1|RB_2","CC","bless","VB","VB","rise","NN|VB","VB"
"produce","VB|NN","VB","and","CC|RB_1|RB_2","CC","a","AT|AP_1|RB_1","AT","new","JJ","JJ","market","NN|VB","VB"
"make","VB|NN","VB","us","PP1OS","PP1OS","Harp","NP","NP","on","IN|RP|RB_3","IN","drink","NN|VB","VB"
"make","VB|NN","VB","and","CC|RB_1|RB_2","CC","Skol","NP","NP","&period;","SPER|IN","SPER","market","NN|VB","VB"
"drinking","VBG|NN|JJ","JJ","classes","NNS","NNS","their","PPG","PPG","taste","NN|VB|NC","NN","change","NN|VB","VB"
"combine","VB|NN","NN","&comma;","SCOM","SCOM","ominous","JJ","JJ","statements","NNS","NNS","issue","NN|VB","VB"
"America","NP","NP","slowly","RB","RB","a","AT|AP_1|RB_1","AT","cultural","JJ","JJ","approach","NN|VB","VB"
"must","MD|NN","MD","eventually","RB","RB","the","ATI|RB_2|NC","ATI","politicians","NNS","NNS","shame","NN|VB","VB"
"day","NN","NN","would","MD","MD","a","AT|AP_1|RB_1","AT","Faur&eacute;","NP","NP","record","NN|VB","VB"
"seemed","VBD|VBN","VBD","to","TO|IN|IN_2","TO","greater","JJR","JJR","security","NN","NN","promise","NN|VB","VB"
"giant","JJB|NN","NN","to","TO|IN|IN_2","TO","a","AT|AP_1|RB_1","AT","more","QL|AP|RBR","QL","attempt","NN|VB","VB"
"does","DOZ","DOZ","not","XNOT","XNOT","from","IN|IN_2|RB_2","IN","an","AT","AT","spring","NN|VB","VB"
"do","DO|NN","DO","not","XNOT","XNOT","&period;","SPER|IN","SPER","<O>","<O>","<O>","share","NN|VB","VB"
"were","BED","BED","to","TO|IN|IN_2","TO","this","DT|QL","DT","according","IN_1|VBG","IN_1","answer","NN|VB","VB"
"senses","NNS","NNS","would","MD","MD","of","IN|RB_1|IN_3","IN","taking","VBG|NN","VBG","dream","NN|VB","VB"
"advise","VB","VB","and","CC|RB_1|RB_2","CC","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","consent","NN|VB","VB"
"began","VBD","VBD","to","TO|IN|IN_2","TO","recently","RB","RB","in","IN|RP|RB_1","IN","film","NN|VB","VB"
"try","VB|NN","VB","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","old","JJ|JJ_1","JJ","bridge","NN|VB","VB"
"advise","VB","VB","and","CC|RB_1|RB_2","CC","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","consent","NN|VB","VB"
"who","WPR|WP","WPR","could","MD","MD","most","QL|AP|RBT","AP","of","IN|RB_1|IN_3","IN","act","NN|VB","VB"
"but","CC|IN|RI","CC","sometimes","RB","RB","on","IN|RP|RB_3","IN","you","PP2","PP2","pause","NN|VB","VB"
"comes","VBZ","VBZ","to","TO|IN|IN_2","TO","too","QL|RB","QL","late","JJ|RB|RB_2","RB","love","NN|VB","VB"
"and","CC|RB_1|RB_2","CC","must","MD|NN","MD","to","TO|IN|IN_2","IN","it","PP3|NC","PP3","stick","NN|VB","VB"
"do","DO|NN","DO","not","XNOT","XNOT","exactly","RB","RB","as","CS|IN|QL","CS","dress","NN|VB","VB"
"enough","QLP|DTI|RB","QLP","to","TO|IN|IN_2","TO","him","PP3O","PP3O","as","CS|IN|QL","IN","trust","NN|VB","VB"
"ago","RB","RB","&comma;","SCOM","SCOM","you","PP2","PP2","&dash;","SDSH","SDSH","mark","NN|VB","VB"
"seems","VBZ","VBZ","to","TO|IN|IN_2","TO","about","IN|RB|RP","IN","any","DTI|RB","DTI","care","NN|VB","VB"
"who","WPR|WP","WPR","would","MD","MD","anybody","PN","PN","on","IN|RP|RB_3","IN","punch","NN|VB","VB"
"who","WPR|WP","WP","could","MD","MD","Burns","NP","NP","Singer","NP","NP","punch","NN|VB","VB"
"ships","NNS|VBZ","NNS","to","TO|IN|IN_2","TO","England","NP","NP","&period;","SPER|IN","SPER","raid","NN|VB","VB"
"tear","NN|VB","NN","I","PP1A|ZZ|NP","PP1A","aside","RP","RP","I","PP1A|ZZ|NP","PP1A","brush","NN|VB","VB"
"&lsquo;","SQSO","SQSO","I","PP1A|ZZ|NP","PP1A","if","CS|CS_2","CS","anybody","PN","PN","doubt","NN|VB","VB"
"let","VB|VBD|VBN","VB","&apos;s","GENM|BEZ|HVZ","PP1OS","it","PP3|NC","PP3","&comma;","SCOM","SCOM","face","NN|VB","VB"
"redeployed","VBN","VBN","to","TO|IN|IN_2","TO","a","AT|AP_1|RB_1","AT","division","NN","NN","form","NN|VB","VB"
"be","BE|RB_2","BE","to","TO|IN|IN_2","TO","an","AT","AT","agreed","VBD|VBN|JJ","JJ","plot","NN|VB","VB"
"trying","VBG|JJ|NN","VBG","to","TO|IN|IN_2","TO","direct","JJ|RB|VB","RB","with","IN|IN_2|RI","IN","bargain","NN|VB","VB"
"&comma;","SCOM","SCOM","to","TO|IN|IN_2","TO","Moscow","NP","NP","&period;","SPER|IN","SPER","visit","NN|VB","VB"
"begun","VBN|VBD","VBN","to","TO|IN|IN_2","TO","head-on","RB|JJB","RB","&period;","SPER|IN","SPER","clash","NN|VB","VB"
"capital","NN|JJ","NN","&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","established","VBN|JJ|VBD","JJ","support","NN|VB","VB"
"<O>","<O>","<O>","to","TO|IN|IN_2","TO","this","DT|QL","DT","campaign","NN|VB","NN","support","NN|VB","VB"
"jugglers","NNS","NNS","who","WPR|WP","WPR","from","IN|IN_2|RB_2","IN","village","NN|FW","NN","travel","NN|VB","VB"
"hoped","VBD|VBN","VBN","to","TO|IN|IN_2","TO","through","IN|RP|JJB","RP","to","TO|IN|IN_2","IN","slip","NN|VB","VB"
"Iraq","NP","NP","to","TO|IN|IN_2","TO","Kuwait","NP","NP","&dash;","SDSH","SDSH","annexe","NN|VB","VB"
"I","PP1A|ZZ|NP","PP1A","still","RB|JJ|VB","RB","that","CS|DT|WPR","CS","threats","NNS","NNS","trust","NN|VB","VB"
"have","HV","HV","to","TO|IN|IN_2","TO","more","QL|AP|RBR","AP","competition","NN","NN","face","NN|VB","VB"
"we","PP1AS","PP1AS","shall","MD","MD","a","AT|AP_1|RB_1","AT","peace","NN","NN","sign","NN|VB","VB"
"prepared","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","war","NN","NN","on","IN|RP|RB_3","IN","risk","NN|VB","VB"
"measures","NNS|VBZ","NNS","to","TO|IN|IN_2","TO","with","IN|IN_2|RI","IN","Britain","NP","NP","deal","NN|VB","VB"
"let","VB|VBD|VBN","RB_1","alone","JJ|RB|RB_2","RB_2","up","RP|IN|JJ_2","RP","our","PPG","PPG","speed","NN|VB","VB"
"not","XNOT","XNOT","to","TO|IN|IN_2","TO","back","RP|NN|JJB","RP","into","IN","IN","slip","NN|VB","VB"
"can","MD|NN","MD","not","XNOT","XNOT","ourselves","PPLS","PPLS","in","IN|RP|RB_1","IN","reward","NN|VB","VB"
"&comma;","SCOM","SCOM","will","MD|NN|VB","MD","for","IN|CS|IN_2","IN","Pic-sponsored","JJB","JJB","battle","NN|VB","VB"
"sixteen","CD","CD","riders","NNS","NNS","claims","NNS|VBZ","NNS","for","IN|CS|IN_2","IN","stake","NN|VB","VB"
"again","RB|RB_3","RB","&comma;","SCOM","SCOM","your","PPG","PPG","tickets","NNS","NNS","book","NN|VB","VB"
"how","WRB|NN_2","WRB","to","TO|IN|IN_2","TO","up","RP|IN|JJ_2","RP","chances","NNS|VBZ","NNS","snap","NN|VB","VB"
"Tambling","NP","NP","to","TO|IN|IN_2","TO","&period;","SPER|IN","SPER","<O>","<O>","<O>","score","NN|VB","VB"
"night","NN","NN","to","TO|IN|IN_2","TO","a","AT|AP_1|RB_1","AT","claim","NN|VB","NN","stake","NN|VB","VB"
"let","VB|VBD|VBN","RB_1","alone","JJ|RB|RB_2","RB_2","four","CD","CD","more","QL|AP|RBR","AP","score","NN|VB","VB"
"where","WRB","WRB","they","PP3AS","PP3AS","with","IN|IN_2|RI","IN","seven","CD","CD","clash","NN|VB","VB"
"<O>","<O>","<O>","<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","play","VB|NN","NN","excuse","NN|VB","VB"
"it","PP3|NC","PP3","could","MD","MD","to","TO|IN|IN_2","IN","where","WRB","WRB","amount","NN|VB","VB"
"rider","NN","NN","must","MD|NN","MD","a","AT|AP_1|RB_1","AT","hustling","JJ|NN|VBG","JJ","use","NN|VB","VB"
"link","NN|VB","NN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","whole","JJ|NN|NC","JJ","wreck","NN|VB","VB"
"I","PP1A|ZZ|NP","PP1A","seriously","RB","RB","&period;","SPER|IN","SPER","<O>","<O>","<O>","fear","NN|VB","VB"
"will","MD|NN|VB","MD","not","XNOT","XNOT","at","IN|RB_1|NC","IN","all","ABN|RB|RB_1","ABN","race","NN|VB","VB"
"if","CS|CS_2","CS","you","PP2","PP2","to","TO|IN|IN_2","TO","take","VB|NN|NC","VB","care","NN|VB","VB"
"refuse","VB|NN","VB","to","TO|IN|IN_2","TO","if","CS|CS_2","CS","any","DTI|RB","DTI","race","NN|VB","VB"
"and","CC|RB_1|RB_2","CC","I","PP1A|ZZ|NP","PP1A","Night","NP","NP","Porter","NP","NP","rate","NN|VB","VB"
"afternoon","NN","NN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","swashbuckling","JJ","JJ","challenge","NN|VB","VB"
"force","NN|VB|NC","NN","to","TO|IN|IN_2","TO","triumphantly","RB","RB","through","IN|RP|JJB","IN","flash","NN|VB","VB"
"Great","NP","NP","may","MD|NN|RB_1","MD","?","SQM","SQM","<O>","<O>","<O>","rise","NN|VB","VB"
"one","CD1|PN_2|PPLS_1","CD1","must","MD|NN","MD","it","PP3|NC","PP3","to","TO|IN|IN_2","IN","hand","NN|VB","VB"
"through","IN|RP|JJB","RP","to","TO|IN|IN_2","TO","under","IN|RB|RP","IN","the","ATI|RB_2|NC","ATI","score","NN|VB","VB"
"I","PP1A|ZZ|NP","PP1A","never","RB","RB","beer","NN","NN","&hellip;","SELL","SELL","touch","NN|VB","VB"
"<O>","<O>","<O>","<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","manager","NN","NN","sack","NN|VB","VB"
"the","ATI|RB_2|NC","ATI","manager","NN","NN","fans","NNS","NNS","&period;","SPER|IN","SPER","cry","NN|VB","VB"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","the","ATI|RB_2|NC","ATI","manager","NN","NN","sack","NN|VB","VB"
"trying","VBG|JJ|NN","VBG","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","world","NN","NN","kid","NN|VB","VB"
"and","CC|RB_1|RB_2","CC","children","NNS","NNS","up","RP|IN|JJ_2","RP","for","IN|CS|IN_2","IN","line","NN|VB","VB"
"ten","CD","CD","nurses","NNS","NNS","exams","NNS","NNS","&dash;","SDSH","SDSH","flop","NN|VB","VB"
"tailors","NNS","NNS","who","WPR|WP","WPR","uniforms","NNS","NNS","&period;","SPER|IN","SPER","supply","NN|VB","VB"
"made","VBN|VBD","VBD","him","PP3O","PP3O","the","ATI|RB_2|NC","ATI","child","NN","NN","return","NN|VB","VB"
"I","PP1A|ZZ|NP","PP1A","can","MD|NN","MD","you","PP2","PP2","there","EX|RN","EX","promise","NN|VB","VB"
"you","PP2","PP2","will","MD|NN|VB","MD","the","ATI|RB_2|NC","ATI","young","JJ|NN","JJ","urge","NN|VB","VB"
"proportionately","RB","RB","&dash;","SDSH","SDSH","most","QL|AP|RBT","RBT","&period;","SPER|IN","SPER","benefit","NN|VB","VB"
"used","VBN|VBD|JJ","VBD","to","TO|IN|IN_2","TO","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","work","NN|VB","VB"
"engineers","NNS","NNS","who","WPR|WP","WPR","on","IN|RP|RB_3","IN","Friday","NR","NR","report","NN|VB","VB"
"offering","VBG|NN","VBG","to","TO|IN|IN_2","TO","wholly","RB","RB","or","CC|NC|FW","CC","finance","NN|VB","VB"
"parent","NN","NN","to","TO|IN|IN_2","TO","religious","JJ","JJ","instruction","NN","NN","challenge","NN|VB","VB"
"&lsquo;","SQSO","SQSO","don&apos;t","DOX","DOX","our","PPG","PPG","country","NN|NC","NN","judge","NN|VB","VB"
"way","NN|RB|RB_2","NN","to","TO|IN|IN_2","TO","millions","CDS","CDS","of","IN|RB_1|IN_3","IN","use","NN|VB","VB"
"up","RP|IN|JJ_2","RP","to","TO|IN|IN_2","TO","America","NP","NP","&period;","SPER|IN","SPER","photograph","NN|VB","VB"
"ready","JJ|NN|RB","JJ","to","TO|IN|IN_2","TO","each","DT|PPLS_1","PPLS_1","other","AP|PPLS_2","PPLS_2","massacre","NN|VB","VB"
"impossible","JJ","JJ","to","TO|IN|IN_2","TO","their","PPG","PPG","sincerity","NN","NN","doubt","NN|VB","VB"
"down","RP|IN|JJB","RP","to","TO|IN|IN_2","TO","out","RP|IN|JJB","RP","what","WDT|WDT_1","WDT","figure","NN|VB","VB"
"they","PP3AS","PP3AS","couldn&apos;t","MDX","MDX","for","IN|CS|IN_2","IN","war","NN","NN","use","NN|VB","VB"
"homes","NRS","NRS","to","TO|IN|IN_2","TO","&period;","SPER|IN","SPER","<O>","<O>","<O>","freeze","NN|VB","VB"
"do","DO|NN","DO","not","XNOT","XNOT","out","RP|IN|JJB","RP","&lsquo;","SQSO","SQSO","rule","NN|VB","VB"
"one","CD1|PN_2|PPLS_1","CD1","might","MD|NN","MD","up","RP|IN|JJ_2","RP","by","IN|RP|IN_1","IN","sum","NN|VB","VB"
"<O>","<O>","<O>","they","PP3AS","PP3AS","that","CS|DT|WPR","CS","&comma;","SCOM","SCOM","reason","NN|VB","VB"
"paratroops","NNS","NNS","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","naval","JJ","JJ","storm","NN|VB","VB"
"reason","NN|VB","NN","to","TO|IN|IN_2","TO","a","AT|AP_1|RB_1","AT","food","NN","NN","fear","NN|VB","VB"
"yesterday","NR","NR","to","TO|IN|IN_2","TO","up","RP|IN|JJ_2","RP","with","IN|IN_2|RI","IN","stock","NN|VB","VB"
"can","MD|NN","MD","softly","RB","RB","&comma;","SCOM","SCOM","but","CC|IN|RI","CC","drink","NN|VB","VB"
"ordered","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","for","IN|CS|IN_2","IN","duty","NN","NN","report","NN|VB","VB"
"strike","NN|VB","NN","to","TO|IN|IN_2","TO","great","JJ|AP_2|NP","JJ","economic","JJ","JJ","cause","NN|VB","VB"
"began","VBD","VBD","to","TO|IN|IN_2","TO","out","RP|IN|JJB","RP","&period;","SPER|IN","SPER","boom","NN|VB","VB"
"church","NN","NN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","President","NPT","NPT","witness","NN|VB","VB"
"did","DOD","DOD","not","XNOT","XNOT","the","ATI|RB_2|NC","ATI","town","NN","NN","name","NN|VB","VB"
"about","IN|RB|RP","RP","to","TO|IN|IN_2","TO","on","IN|RP|RB_3","RP","to","TO|IN|IN_2","IN","taxi","NN|VB","VB"
"had","HVD|HVN","HVD","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","question","NN|VB","NN","answer","NN|VB","VB"
"President","NPT","NPT","will","MD|NN|VB","MD","a","AT|AP_1|RB_1","AT","communique","NN","NN","issue","NN|VB","VB"
"water","NN|VB","NN","guns","NNS","NNS","Berliners","NNPS","NNPS","on","IN|RP|RB_3","IN","hose","NN|VB","VB"
"Britain","NP","NP","would","MD","MD","any","DTI|RB","DTI","threat","NN","NN","regard","NN|VB","VB"
"wishing","VBG|NN","VBG","to","TO|IN|IN_2","TO","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","travel","NN|VB","VB"
"yesterday","NR","NR","to","TO|IN|IN_2","TO","&lsquo;","SQSO","SQSO","in","IN|RP|RB_1","IN","protest","NN|VB","VB"
"and","CC|RB_1|RB_2","CC","might","MD|NN","MD","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","result","NN|VB","VB"
"council","NN","NN","should","MD","MD","most","QL|AP|RBT","QL","strongly","RB","RB","protest","NN|VB","VB"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","and","CC|RB_1|RB_2","CC","fight","VB|NN","VB","rise","NN|VB","VB"
"were","BED","BED","to","TO|IN|IN_2","TO","their","PPG","PPG","new","JJ","JJ","honour","NN|VB","VB"
"and","CC|RB_1|RB_2","CC","I","PP1A|ZZ|NP","PP1A","that","CS|DT|WPR","CS","when","WRB","WRB","trust","NN|VB","VB"
"me","PP1O|FW|PPG","PP1O","to","TO|IN|IN_2","TO","my","PPG|NC","PPG","regalia","NNS","NNS","surrender","NN|VB","VB"
"&lsquo;","SQSO","SQSO","I","PP1A|ZZ|NP","PP1A","to","TO|IN|IN_2","TO","say","VB|NN","VB","venture","NN|VB","VB"
"decided","VBD|VBN|JJ","VBN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","majority","NN","NN","support","NN|VB","VB"
"would","MD","MD","not","XNOT","XNOT","the","ATI|RB_2|NC","ATI","election","NN","NN","support","NN|VB","VB"
"intend","VB","VB","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","election","NN","NN","support","NN|VB","VB"
"which","WDTR|WDT","WDTR","may","MD|NN|RB_1","MD","the","ATI|RB_2|NC","ATI","destinies","NNS","NNS","shape","NN|VB","VB"
"hours","NNS","NNS","to","TO|IN|IN_2","TO","each","DT|PPLS_1","PPLS_1","other","AP|PPLS_2","PPLS_2","size","NN|VB","VB"
"had","HVD|HVN","HVD","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","question","NN|VB","NN","answer","NN|VB","VB"
"attempting","VBG","VBG","to","TO|IN|IN_2","TO","his","PPG|PPGG","PPG","good","JJ|NN|AP_2","JJ","use","NN|VB","VB"
"western","JJ|NN","JJ","delegates","NNS","NNS","that","CS|DT|WPR","CS","Mr","NPT|FW|NC","NPT","fear","NN|VB","VB"
"&period;","SPER|IN","SPER","to","TO|IN|IN_2","TO","Wood","NPL|NP","NPL","Ditton","NP","NP","contest","NN|VB","VB"
"did","DOD","DOD","not","XNOT","XNOT","at","IN|RB_1|NC","IN","two","CD","CD","race","NN|VB","VB"
"backward","JJ|RB","JJ","to","TO|IN|IN_2","TO","during","IN","IN","his","PPG|PPGG","PPG","race","NN|VB","VB"
"need","NN|VB|MD","MD","not","XNOT","XNOT","our","PPG","PPG","assessment","NN","NN","prejudice","NN|VB","VB"
"scope","NN","NN","to","TO|IN|IN_2","TO","on","IN|RP|RB_3","RP","into","IN","IN","train","NN|VB","VB"
"their","PPG","PPG","teams","NNS","NNS","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","exercise","NN|VB","VB"
"once","RB|RB_2|CS","RB","more","QL|AP|RBR","RBR","the","ATI|RB_2|NC","ATI","crowds","NNS","NNS","drive","NN|VB","VB"
"forced","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","with","IN|IN_2|RI","IN","their","PPG","PPG","part","NN|VB","VB"
"I","PP1A|ZZ|NP","PP1A","should","MD","MD","out","RP|IN|JJB","RP","that","CS|DT|WPR","CS","point","NN|VB","VB"
"<O>","<O>","<O>","Millwall","NP","NP","cuts","NNS|VBZ","NNS","&dash;","SDSH","SDSH","plan","NN|VB","VB"
"will","MD|NN|VB","MD","not","XNOT","XNOT","reserve","NN|VB","NN","teams","NNS","NNS","field","NN|VB","VB"
"Burnley","NP","NP","will","MD|NN|VB","MD","their","PPG","PPG","star","NN|VB","NN","lack","NN|VB","VB"
"advised","VBN|VBD","VBN","to","TO|IN|IN_2","TO","&period;","SPER|IN","SPER","<O>","<O>","<O>","rest","NN|VB","VB"
"off","RP|IN|JJB","RP","to","TO|IN|IN_2","TO","Chelsea","NP","NP","to","TO|IN|IN_2","TO","telephone","NN|VB","VB"
"established","VBN|JJ|VBD","VBN","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","shrine","NN","NN","guard","NN|VB","VB"
"designed","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","TO","these","DTS","DTS","difficulties","NNS","NNS","resolve","NN|VB","VB"
"she","PP3A","PP3A","will","MD|NN|VB","MD","up","RP|IN|JJ_2","RP","the","ATI|RB_2|NC","ATI","speed","NN|VB","VB"
"crops","NNS|VBZ","NNS","largely","RB","RB","for","IN|CS|IN_2","IN","an","AT","AT","account","NN|VB","VB"
"much","AP|RB","AP","to","TO|IN|IN_2","TO","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","drink","NN|VB","VB"
"intended","VBN|VBD|JJ","VBD","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","guttering","NN","NN","use","NN|VB","VB"
"&lsquo;","SQSO","SQSO","I","PP1A|ZZ|NP","PP1A","&period;","SPER|IN","SPER","<O>","<O>","<O>","object","NN|VB","VB"
"up","RP|IN|JJ_2","RP","and","CC|RB_1|RB_2","CC","twice","RB","RB","&period;","SPER|IN","SPER","stall","NN|VB","VB"
"&rsquo;","SQSC","SQSC","and","CC|RB_1|RB_2","CC","my","PPG|NC","PPG","defence","NN","NN","reserve","NN|VB","VB"
"you","PP2","PP2","will","MD|NN|VB","MD","the","ATI|RB_2|NC","ATI","expression","NN|FW","NN","excuse","NN|VB","VB"
"did","DOD","DOD","not","XNOT","XNOT","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","reply","NN|VB","VB"
"refused","VBD|VBN","VBN","to","TO|IN|IN_2","TO","prize","NN","NN","money","NN","NN","increase","NN|VB","VB"
"council","NN","NN","should","MD","MD","its","PPG","PPG","overdraft","NN","NN","increase","NN|VB","VB"
"chance","NN|JJB|VB","NN","to","TO|IN|IN_2","TO","&comma;","SCOM","SCOM","Councillor","NPT","NPT","reply","NN|VB","VB"
"wise","JJ","JJ","to","TO|IN|IN_2","TO","the","ATI|RB_2|NC","ATI","overdraft","NN","NN","increase","NN|VB","VB"
"is","BEZ|NC","BEZ","to","TO|IN|IN_2","TO","as","CS|IN|QL","IN","a","AT|AP_1|RB_1","AT","act","NN|VB","VB"
"sub-committee","NN","NN","will","MD|NN|VB","MD","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","press","NN|VB","VB"
"<O>","<O>","<O>","to","TO|IN|IN_2","TO","his","PPG|PPGG","PPG","services","NNS","NNS","mark","NN|VB","VB"
"mayor","NN","NN","to","TO|IN|IN_2","TO","for","IN|CS|IN_2","IN","by-pass","NN","NN","campaign","NN|VB","VB"
"he","PP3A","PP3A","would","MD","MD","transport","NN|VB","NN","federations","NNS","NNS","approach","NN|VB","VB"
